,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
384,384,Kirby Place S.O,110010,DELHI,South West Delhi,,0,0
385,385,Lado Sarai B.O,110030,DELHI,South West Delhi,,0,0
386,386,Laxmi Bai Nagar S.O,110023,DELHI,South West Delhi,,28.6216087,77.347696
387,387,Mahipalpur B.O,110037,DELHI,South West Delhi,,28.5448686,77.1281345
388,388,Maidan Garhi B.O,110068,DELHI,South West Delhi,,27.5065156,76.5981251
389,389,Malcha Marg S.O,110021,DELHI,South West Delhi,,28.6060228,77.1858995
390,390,Mandi B.O,110047,DELHI,South West Delhi,,28.4451711,77.1443973
391,391,Masood Pur B.O,110070,DELHI,South West Delhi,,0,0
392,392,Mehrauli S.O,110030,DELHI,South West Delhi,,28.5212083,77.1789831
393,393,Moti Bagh S.O,110021,DELHI,South West Delhi,,28.6559691,77.2298787
394,394,Munirka S.O,110067,DELHI,South West Delhi,,28.5532118,77.1744823
395,395,Nanak Pura S.O,110021,DELHI,South West Delhi,,28.6622069,77.2630631
396,396,Nangal Dewat B.O,110037,DELHI,South West Delhi,,28.6070819,77.1147176
397,397,Nauroji Nagar S.O,110029,DELHI,New Delhi,New Delhi,28.5659479,77.1945046
398,398,Netaji Nagar S.O (South West Delhi),110023,DELHI,South West Delhi,,28.6623539,77.2651958
399,399,NIE Campus S.O,110016,DELHI,South West Delhi,,0,0
400,400,Palam Airport S.O,110037,DELHI,South West Delhi,,28.5900637,77.0887828
401,401,Paryavaran Complex S.O,110030,DELHI,South West Delhi,,28.5150574,77.2018513
402,402,Pinto Park S.O,110010,DELHI,South West Delhi,,0,0
403,403,R K Puram (Main) S.O,110066,DELHI,South West Delhi,,-26.1882158,-48.529205
404,404,R K Puram Sect-1 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
405,405,R K Puram Sect-12 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
406,406,R K Puram Sect-3 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
407,407,R K Puram Sect-4 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
408,408,R K Puram Sect-5 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
